year,state,district,candidate,party,candidatevotes,totalvotes
1978,ALABAMA,1,JACK EDWARDS,REPUBLICAN,71711,112161
1978,ALABAMA,1,L W NOONAN,DEMOCRAT,40450,112161
1978,ALABAMA,2,WENDELL MITCHELL,DEMOCRAT,49341,107265
1978,ALABAMA,2,"WILLIAM L ""BILL"" DICKINSON",REPUBLICAN,57924,107265
1978,ALABAMA,3,BILL NICHOLS,DEMOCRAT,74895,74897
1978,ALABAMA,3,WRITEIN,,2,74897
1978,ALABAMA,4,TOM BEVILL,DEMOCRAT,87380,87381
1978,ALABAMA,4,WRITEIN,,1,87381
1978,ALABAMA,5,HARVEY NICHOLAS CRUMHORN,LIBERTARIAN,2250,71236
1978,ALABAMA,5,RONNIE G FLIPPO,DEMOCRAT,68985,71236
1978,ALABAMA,5,WRITEIN,,1,71236
1978,ALABAMA,6,DON HAWKINS,DEMOCRAT,40771,106471
1978,ALABAMA,6,JOHN H BUCHANAN JR,REPUBLICAN,65700,106471
1978,ALABAMA,7,FULTON GRAY,CONSERVATIVE,3285,82868
1978,ALABAMA,7,JIM SCRUGGS,REPUBLICAN,1841,82868
1978,ALABAMA,7,RICHARD C SHELBY,DEMOCRAT,77742,82868
1978,ALASKA,0,DON YOUNG,REPUBLICAN,68811,124187
1978,ALASKA,0,PATRICK RODEY,DEMOCRAT,55176,124187
1978,ALASKA,0,WRITEIN,,200,124187
1978,ARIZONA,1,JOHN J RHODES,REPUBLICAN,81108,114286
1978,ARIZONA,1,KEN GRAVES,DEMOCRAT,33178,114286
1978,ARIZONA,2,BETSY MCDONALD,SOCIALIST WORKERS,1220,129197
1978,ARIZONA,2,JOE BACH,LIBERTARIAN,1402,129197
1978,ARIZONA,2,MORRIS K UDALL,DEMOCRAT,67878,129197
1978,ARIZONA,2,TOM RICHEY,REPUBLICAN,58697,129197
1978,ARIZONA,3,BOB STUMP,DEMOCRAT,111850,131663
1978,ARIZONA,3,KATHLEEN COOKE,LIBERTARIAN,19813,131663
1978,ARIZONA,4,ELDON RUDD,REPUBLICAN,90768,143836
1978,ARIZONA,4,LAWRENCE W JEROME,LIBERTARIAN,4407,143836
